ECOICOP,NAZEV,MĚRNÁ JEDNOTKA,,VÁHA v ‰
E03.220.01,VÝMĚNA DÁMSKÝCH PATNÍKŮ - EXPRES, 1,pár,0.483552
E04,"BYDLENÍ, VODA, ENERGIE, PALIVA", , ,258.393791
E04.1,Nájemné z bytu, , ,33.184542
E04.11,Nájemné placené nájemníky za první (hlavní) bydliště, , ,33.184542
E04.110,NÁJEMNÉ PLACENÉ NÁJEMNÍKY ZA PRVNÍ (HLAVNÍ) BYDLIŠTĚ, , ,33.184542
E04.110.01,BYT NÁJEMNÍ - 2 OBYTNÉ MÍSTNOSTI - SE SMLUVNÍM NÁJMEM, 1,m2,4.051782
E04.110.02,SUBI TRŽNÍ NÁJEMNÉ ZPROSTŘEDKOVANÉ RK, , ,8.931670
E04.110.03,BYT NÁJEMNÍ - 1 OBYTNÁ MÍSTNOST, 1,m2,1.934207
E04.110.04,BYT NÁJEMNÍ - 2 OBYTNÉ MÍSTNOSTI, 1,m2,4.828572
E04.110.05,BYT NÁJEMNÍ - 3 OBYTNÉ MÍSTNOSTI, 1,m2,4.888629
E04.110.06,BYT NÁJEMNÍ - 4 OBYTNÉ MÍSTNOSTI, 1,m2,1.010957
E04.110.07,BYT DRUŽSTEVNÍ I. KATEGORIE - 2 OBYTNÉ MÍSTNOSTI a SVJ, ,měsíčně,2.660400
E04.110.08,BYT DRUŽSTEVNÍ I. KATEGORIE - 3 OBYTNÉ MÍSTNOSTI a SVJ, ,měsíčně,4.203594
E04.110.09,BYT DRUŽSTEVNÍ I. KATEGORIE - 4 OBYTNÉ MÍSTNOSTI a SVJ, ,měsíčně,0.674731
E04.2,Imputované nájemné za bydlení (náklady vlastnického bydlení), , ,103.372152
E04.21,Imputované nájemné vlastníků - nájemníků (náklady vlast. bydlení), , ,103.372152
E04.210,IMPUTOVANÉ NÁJEMNÉ VLASTNÍKŮ - NÁJEMNÍKŮ (NÁKLADY VLAST. BYDLENÍ), , ,103.372152
E04.210.01,"SUBI NÁKLADY NA POŘÍZENÍ, REKONSTRUKCE A ÚDRŽBU VLAST. BYDLENÍ", , ,103.372152
E04.3,Běžná údržba a drobné opravy bytu, , ,13.604629
E04.31,Výrobky pro běžnou údržbu a drobné opravy bytu, , ,7.695222
E04.310,VÝROBKY PRO BĚŽNOU ÚDRŽBU A DROBNÉ OPRAVY BYTU, , ,7.695222
E04.310.01,OBKLADAČKY POROVINOVÉ, 1,m2,1.161979
E04.310.02,UMYVADLO, 1,ks,0.826467
E04.310.03,BATERIE DŘEZOVÁ 1/2 coulová, 1,ks,0.829544
E04.310.04,OMÍTKOVÁ SMĚS, 40,kg,0.584837
E04.310.05,PRIMALEX PLUS BÍLÝ, 7.5,kg,0.600227
E04.310.06,UNIVERZÁLNÍ AKRYLÁTOVÁ BARVA, 1,kg,0.871100
E04.310.07,DŘEVĚNÁ PODLAHA, 1,m2,2.110799
E04.310.08,SÁDROKARTONOVÉ DESKY, 1,m2,0.470947
